[chain] seed fleet done, merging
377 new unique APIs (193 deduped away)
  agriculture: 12
  ai-ml: 24
  crypto: 19
  data-analytics: 2
  dev-tools: 24
  ecommerce-payments: 17
  education-reference: 10
  energy-utilities: 16
  entertainment: 5
  events-holidays: 17
  finance: 11
  food-drink: 2
  games-comics: 17
  geo-maps: 16
  government-open-data: 18
  health-fitness: 5
  iot-devices: 24
  jobs-careers: 23
  legal-compliance: 16
  news-media: 5
  real-estate-housing: 21
  science-space: 6
  security-identity: 21
  social-communication: 7
  transportation: 10
  travel-hospitality: 13
  utilities: 14
  weather-environment: 2
wrote 377 researcher jobs to /Users/memfactor/Desktop/misc_repos/grokproj/pipeline/jobs-research-r2.jsonl
[chain] launching research fleet
[14:49:42] research-ipdata: OK in 90s (501004 tok, $0.282) [done 65, failed 0]
[14:50:00] research-fanart-tv: OK in 215s (1091268 tok, $0.599) [done 66, failed 0]
[14:50:17] research-thingsboard: OK in 87s (330551 tok, $0.360) [done 67, failed 0]
[14:50:23] research-jsearch: OK in 87s (423860 tok, $0.303) [done 68, failed 0]
[14:50:53] research-codeship: OK in 288s (1351482 tok, $0.691) [done 69, failed 0]
[14:51:08] research-associated-press: OK in 68s (231556 tok, $0.175) [done 70, failed 0]
[14:51:16] research-who-icd-api: OK in 157s (1014089 tok, $0.560) [done 71, failed 0]
[14:51:37] research-attom-data: OK in 81s (309617 tok, $0.258) [done 72, failed 0]
[14:51:59] research-leakix: OK in 66s (300726 tok, $0.208) [done 73, failed 0]
[14:52:31] research-klaviyo: OK in 83s (310370 tok, $0.225) [done 74, failed 0]
[14:52:58] research-expedia-partner: OK in 81s (299590 tok, $0.242) [done 75, failed 0]
[14:53:11] research-esa-sky: OK in 168s (589663 tok, $0.398) [done 76, failed 0]
[14:53:11] research-fbi-crime-data: OK in 290s (1378528 tok, $0.693) [done 77, failed 0]
[14:53:13] research-cloudconvert: OK in 74s (256925 tok, $0.215) [done 78, failed 0]
[14:53:17] research-perenual: OK in 45s (132557 tok, $0.112) [done 79, failed 0]
[14:53:43] research-esa-gaia-tap: OK in 592s (986450 tok, $0.625) [done 80, failed 0]
[14:53:55] research-nrel: OK in 12s (30509 tok, $0.014) [done 81, failed 0]
[14:54:03] research-ofac-sanctions: OK in 262s (1056632 tok, $0.548) [done 82, failed 0]
[14:54:05] research-printify: OK in 53s (115704 tok, $0.176) [done 83, failed 0]
[14:54:13] research-moodle: OK in 56s (172032 tok, $0.194) [done 84, failed 0]
[14:54:18] research-fal-ai: OK in 79s (429791 tok, $0.298) [done 85, failed 0]
[14:54:20] research-rome2rio: OK in 183s (980292 tok, $0.535) [done 86, failed 0]
[14:54:23] research-magicthegathering: OK in 10s (30400 tok, $0.044) [done 87, failed 0]
[14:54:56] research-codeclimate: OK in 105s (335770 tok, $0.240) [done 88, failed 0]
[14:55:16] research-glassnode: OK in 125s (425002 tok, $0.312) [done 89, failed 0]
[14:55:21] research-ticketmaster-discovery: OK in 78s (322563 tok, $0.242) [done 90, failed 0]
[14:55:25] research-ipwhois: OK in 67s (218824 tok, $0.231) [done 91, failed 0]
[14:55:31] research-ons-uk: OK in 71s (258370 tok, $0.202) [done 92, failed 0]
[14:55:46] research-thetvdb: OK in 111s (253659 tok, $0.198) [done 93, failed 0]
[14:55:58] research-human-phenotype-ontology: OK in 94s (401986 tok, $0.295) [done 94, failed 0]
[14:56:01] research-rentcast: OK in 30s (154330 tok, $0.110) [done 95, failed 0]
[14:56:24] research-complyadvantage: OK in 63s (176168 tok, $0.269) [done 96, failed 0]
[14:56:47] research-the-things-network: OK in 111s (384066 tok, $0.566) [done 97, failed 0]
[14:57:06] research-nasa-exoplanet-archive: OK in 79s (249448 tok, $0.181) [done 98, failed 0]
[14:57:09] research-quodd: OK in 184s (1317961 tok, $0.596) [done 99, failed 0]
[14:57:17] research-reed: OK in 122s (562008 tok, $0.321) [done 100, failed 0]
[14:57:18] research-circl-vulnerability-lookup: OK in 81s (235016 tok, $0.209) [done 101, failed 0]
[14:57:27] research-sparkpost: OK in 86s (460692 tok, $0.293) [done 102, failed 0]
[14:57:48] research-afp-api: OK in 144s (718567 tok, $0.384) [done 103, failed 0]
[14:57:57] research-flightradar24: OK in 93s (554814 tok, $0.377) [done 104, failed 0]
[14:57:59] research-hotelbeds: OK in 73s (274303 tok, $0.286) [done 105, failed 0]
[14:58:05] research-convertapi: OK in 59s (248754 tok, $0.191) [done 106, failed 0]
[14:58:12] research-internet-archive: OK in 15s (30571 tok, $0.014) [done 107, failed 0]
[14:58:16] research-entsoe-transparency: OK in 17s (30731 tok, $0.046) [done 108, failed 0]
[14:59:05] research-google-cloud-speech: OK in 108s (321287 tok, $0.239) [done 109, failed 0]
[14:59:06] research-placeholder: OK in 61s (161569 tok, $0.190) [done 110, failed 0]
[14:59:24] research-coveralls: OK in 117s (502665 tok, $0.303) [done 111, failed 0]
[14:59:40] research-barchart-ondemand: OK in 84s (248319 tok, $0.192) [done 112, failed 0]
