[15:12:57] fleet start: 319 jobs, concurrency 8
[15:14:51] research-securitytrails: OK in 114s (390925 tok, $0.369) [done 1, failed 0]
[15:14:51] research-cohere: OK in 115s (196734 tok, $0.225) [done 2, failed 0]
[15:15:04] research-iqair-airvisual: OK in 128s (419223 tok, $0.315) [done 3, failed 0]
[15:15:33] research-mastodon: OK in 156s (486463 tok, $0.397) [done 4, failed 0]
[15:15:36] research-football-data-org: OK in 159s (419137 tok, $0.385) [done 5, failed 0]
[15:15:48] research-aerodatabox: OK in 171s (652968 tok, $0.543) [done 6, failed 0]
[15:16:00] research-iex-cloud: OK in 183s (485438 tok, $0.429) [done 7, failed 0]
[15:16:20] research-nasa-ads: OK in 204s (610307 tok, $0.442) [done 8, failed 0]
[15:16:23] research-the-graph: OK in 92s (288287 tok, $0.370) [done 9, failed 0]
[15:17:01] research-taxjar: OK in 88s (325586 tok, $0.240) [done 10, failed 0]
[15:17:15] research-anilist: OK in 87s (307104 tok, $0.319) [done 11, failed 0]
[15:17:23] research-chess-com: OK in 22s (30409 tok, $0.014) [done 12, failed 0]
[15:17:40] research-docker-hub: OK in 155s (393144 tok, $0.347) [done 13, failed 0]
[15:17:43] research-they-said-so: OK in 127s (577577 tok, $0.405) [done 14, failed 0]
[15:17:56] research-marketstack: OK in 117s (373545 tok, $0.301) [done 15, failed 0]
[15:18:27] research-thecatapi: OK in 124s (542599 tok, $0.359) [done 16, failed 0]
[15:18:33] research-world-bank: OK in 222s (503549 tok, $0.379) [done 17, failed 0]
[15:18:42] research-usda-fooddata-central: OK in 141s (562999 tok, $0.377) [done 18, failed 0]
[15:18:48] research-geoapify: OK in 93s (366267 tok, $0.289) [done 19, failed 0]
[15:19:03] research-bing-news-search: OK in 80s (277848 tok, $0.227) [done 20, failed 0]
[15:19:07] research-npi-registry: OK in 87s (247963 tok, $0.267) [done 21, failed 0]
[15:19:12] research-abuseipdb: OK in 45s (121551 tok, $0.164) [done 22, failed 0]
[15:19:21] research-overpass: OK in 118s (430597 tok, $0.351) [done 23, failed 0]
[15:19:39] research-simbad: OK in 103s (291811 tok, $0.294) [done 24, failed 0]
[15:19:56] research-openligadb: OK in 75s (166748 tok, $0.173) [done 25, failed 0]
[15:20:19] research-bluesky: OK in 106s (214560 tok, $0.195) [done 26, failed 0]
[15:20:24] research-noaa-ncei: OK in 81s (229738 tok, $0.244) [done 27, failed 0]
[15:20:53] research-mistral-ai: OK in 106s (468774 tok, $0.357) [done 28, failed 0]
[15:20:54] research-flightaware-aeroapi: OK in 127s (750878 tok, $0.445) [done 29, failed 0]
[15:21:05] research-sentry: OK in 86s (368956 tok, $0.264) [done 30, failed 0]
[15:21:06] research-fred: OK in 105s (302773 tok, $0.356) [done 31, failed 0]
[15:21:49] research-cryptocompare: OK in 157s (743638 tok, $0.432) [done 32, failed 0]
[15:21:52] research-zenquotes: OK in 93s (248323 tok, $0.221) [done 33, failed 0]
[15:21:58] research-kitsu: OK in 94s (298497 tok, $0.250) [done 34, failed 0]
[15:22:00] research-financial-modeling-prep: OK in 66s (352889 tok, $0.353) [done 35, failed 0]
[15:22:08] research-calorieninjas: OK in 74s (156764 tok, $0.198) [done 36, failed 0]
[15:22:15] research-nyc-open-data: OK in 23s (30339 tok, $0.050) [done 37, failed 0]
[15:22:22] research-fhir-r4-examples: OK in 24s (30395 tok, $0.044) [done 38, failed 0]
[15:22:29] research-comicvine: OK in 83s (248618 tok, $0.193) [done 39, failed 0]
[15:22:34] research-greynoise: OK in 19s (30384 tok, $0.044) [done 40, failed 0]
[15:22:46] research-lorem-picsum: OK in 100s (201867 tok, $0.154) [done 41, failed 0]
[15:23:04] research-google-news-rss: OK in 64s (180794 tok, $0.246) [done 42, failed 0]
[15:23:10] research-avalara: OK in 193s (721511 tok, $0.674) [done 43, failed 0]
[15:23:14] research-usgs-water: OK in 28s (30524 tok, $0.017) [done 44, failed 0]
[15:23:20] research-locationiq: OK in 92s (420874 tok, $0.335) [done 45, failed 0]
[15:23:21] research-open-notify: OK in 73s (145587 tok, $0.122) [done 46, failed 0]
[15:23:57] research-linkedin: OK in 95s (264267 tok, $0.277) [done 47, failed 0]
[15:24:03] research-sportmonks: OK in 94s (440340 tok, $0.325) [done 48, failed 0]
[15:24:33] research-datadog: OK in 73s (329840 tok, $0.279) [done 49, failed 0]
[15:24:33] research-data-gov: OK in 79s (215040 tok, $0.205) [done 50, failed 0]
[15:24:40] research-opensky-network: parse failure (attempt 1): Expecting ',' delimiter: line 1368 column 1 (char 4130)
[15:24:44] research-xai: OK in 100s (459099 tok, $0.297) [done 51, failed 0]
[15:24:49] research-chargebee: OK in 88s (300930 tok, $0.272) [done 52, failed 0]
[15:25:03] research-theaudiodb: OK in 61s (154286 tok, $0.192) [done 53, failed 0]
[15:25:07] research-placekitten: OK in 24s (30130 tok, $0.012) [done 54, failed 0]
[15:25:11] research-tiingo: OK in 38s (188493 tok, $0.243) [done 55, failed 0]
[15:25:17] research-messari: OK in 127s (582026 tok, $0.447) [done 56, failed 0]
[15:25:28] research-hipo-universities: OK in 91s (236623 tok, $0.161) [done 57, failed 0]
[15:25:40] research-reddit: OK in 29s (30220 tok, $0.053) [done 58, failed 0]
[15:26:05] research-meta-graph: OK in 25s (30458 tok, $0.045) [done 59, failed 0]
[15:26:17] research-nutritionix: OK in 104s (363369 tok, $0.333) [done 60, failed 0]
[15:26:24] research-wheretheiss-at: OK in 68s (143688 tok, $0.139) [done 61, failed 0]
[15:26:24] research-radar: OK in 81s (456202 tok, $0.305) [done 62, failed 0]
[15:26:59] research-opensky-network: OK in 139s (305738 tok, $0.306) [done 63, failed 0]
[15:27:16] research-marvel-comics: OK in 147s (523053 tok, $0.360) [done 64, failed 0]
[15:27:21] research-alienvault-otx: OK in 113s (519310 tok, $0.363) [done 65, failed 0]
[15:27:41] research-sportradar: OK in 96s (291824 tok, $0.285) [done 66, failed 0]
[15:27:51] research-perplexity: OK in 87s (364575 tok, $0.342) [done 67, failed 0]
[15:28:30] research-eurostat: OK in 75s (234393 tok, $0.185) [done 68, failed 0]
[15:28:37] research-openuv: OK in 133s (603178 tok, $0.363) [done 69, failed 0]
[15:29:02] research-harvard-art-museums: OK in 71s (165648 tok, $0.196) [done 70, failed 0]
[15:29:38] research-recurly: OK in 117s (684499 tok, $0.517) [done 71, failed 0]
[15:29:45] research-blockchair: OK in 165s (634810 tok, $0.434) [done 72, failed 0]
[15:29:47] research-discogs: OK in 77s (250617 tok, $0.230) [done 73, failed 0]
[15:29:57] research-fatsecret: OK in 55s (171217 tok, $0.202) [done 74, failed 0]
[15:30:33] research-pagerduty: OK in 192s (798613 tok, $0.450) [done 75, failed 0]
[15:30:36] research-deck-of-cards: OK in 51s (145437 tok, $0.096) [done 76, failed 0]
[15:30:40] research-nasdaq-data-link: OK in 122s (817597 tok, $0.486) [done 77, failed 0]
[15:30:45] research-timezonedb: OK in 58s (196090 tok, $0.187) [done 78, failed 0]
[15:31:05] research-hacker-news: OK in 31s (66343 tok, $0.051) [done 79, failed 0]
[15:31:13] research-ensembl: OK in 38s (30418 tok, $0.045) [done 80, failed 0]
[15:31:30] research-data-gouv-fr: OK in 93s (290710 tok, $0.287) [done 81, failed 0]
[15:32:08] research-bored-api: OK in 150s (347045 tok, $0.261) [done 82, failed 0]
[15:32:09] research-adsb-exchange: OK in 352s (1376106 tok, $0.729) [done 83, failed 0]
[15:32:25] research-aviation-edge: OK in 71s (233267 tok, $0.232) [done 84, failed 0]
[15:32:30] research-x-twitter: OK in 104s (334505 tok, $0.612) [done 85, failed 0]
[15:32:43] research-pandascore: OK in 98s (444565 tok, $0.300) [done 86, failed 0]
[15:32:46] research-sonarcloud: OK in 16s (30273 tok, $0.044) [done 87, failed 0]
[15:32:56] research-stormglass: OK in 86s (346302 tok, $0.247) [done 88, failed 0]
[15:32:58] research-phishtank: OK in 138s (330461 tok, $0.252) [done 89, failed 0]
[15:33:04] research-met-museum: OK in 18s (30356 tok, $0.014) [done 90, failed 0]
[15:33:15] research-covalent: OK in 65s (250746 tok, $0.240) [done 91, failed 0]
[15:33:20] research-tradier: OK in 22s (30449 tok, $0.054) [done 92, failed 0]
[15:33:22] research-openalex: OK in 57s (217628 tok, $0.202) [done 93, failed 0]
[15:33:22] research-deepgram: OK in 74s (272381 tok, $0.245) [done 94, failed 0]
[15:34:24] research-tcgdex: OK in 65s (201630 tok, $0.175) [done 95, failed 0]
[15:34:33] research-bigcommerce: OK in 110s (396885 tok, $0.372) [done 96, failed 0]
[15:34:35] research-spaceflight-news: OK in 11s (30256 tok, $0.013) [done 97, failed 0]
[15:34:48] research-abstract-ip-geo: OK in 85s (249545 tok, $0.278) [done 98, failed 0]
[15:35:03] research-podcast-index: OK in 127s (600823 tok, $0.414) [done 99, failed 0]
[15:35:08] research-advice-slip: OK in 113s (217371 tok, $0.173) [done 100, failed 0]
[15:35:21] research-canada-open-data: OK in 119s (405382 tok, $0.349) [done 101, failed 0]
[15:35:47] research-rcsb-pdb: OK in 74s (278640 tok, $0.205) [done 102, failed 0]
[15:36:04] research-ssllabs: OK in 88s (344976 tok, $0.247) [done 103, failed 0]
[15:36:17] research-pinterest: OK in 90s (514763 tok, $0.394) [done 104, failed 0]
[15:36:20] research-waqi: OK in 58s (293617 tok, $0.207) [done 105, failed 0]
[15:36:27] research-nhtsa-vpic: OK in 79s (163143 tok, $0.217) [done 106, failed 0]
[15:36:57] research-assemblyai: OK in 70s (338608 tok, $0.265) [done 107, failed 0]
[15:36:59] research-nansen: OK in 55s (174679 tok, $0.185) [done 108, failed 0]
[15:37:13] research-grid-esports: OK in 129s (609712 tok, $0.424) [done 109, failed 0]
[15:37:42] research-zomato: OK in 278s (785049 tok, $0.713) [done 110, failed 0]
[15:37:51] research-woocommerce: OK in 84s (235530 tok, $0.236) [done 111, failed 0]
[15:37:58] research-codecov: OK in 98s (394259 tok, $0.393) [done 112, failed 0]
[15:38:03] research-ron-swanson-quotes: OK in 13s (30258 tok, $0.013) [done 113, failed 0]
[15:38:10] research-crossref: OK in 113s (298085 tok, $0.221) [done 114, failed 0]
[15:38:12] research-chicago-open-data: OK in 785s (329995 tok, $0.235) [done 115, failed 0]
[15:38:35] research-alpaca: OK in 82s (296383 tok, $0.332) [done 116, failed 0]
[15:38:58] research-smithsonian: OK in 121s (460869 tok, $0.307) [done 117, failed 0]
[15:39:03] research-trakt: OK in 124s (963042 tok, $0.574) [done 118, failed 0]
[15:39:06] research-freetogame: OK in 68s (149929 tok, $0.124) [done 119, failed 0]
[15:39:09] research-ip2location: OK in 65s (219559 tok, $0.250) [done 120, failed 0]
[15:39:12] research-crt-sh: OK in 14s (30220 tok, $0.013) [done 121, failed 0]
[15:39:18] research-tripadvisor: OK in 96s (358239 tok, $0.327) [done 122, failed 0]
[15:39:21] research-collegefootballdata: OK in 15s (30216 tok, $0.015) [done 123, failed 0]
[15:39:44] research-thenewsapi: OK in 92s (312235 tok, $0.224) [done 124, failed 0]
[15:40:26] research-abs-statistics: OK in 136s (333826 tok, $0.250) [done 125, failed 0]
[15:40:27] research-chembl: OK in 113s (278403 tok, $0.203) [done 126, failed 0]
[15:40:30] research-tumblr: OK in 87s (264579 tok, $0.250) [done 127, failed 0]
[15:40:41] research-elevenlabs: OK in 83s (320231 tok, $0.239) [done 128, failed 0]
[15:40:49] research-dune-analytics: OK in 87s (443578 tok, $0.300) [done 129, failed 0]
[15:41:21] research-browserstack: OK in 55s (241127 tok, $0.226) [done 130, failed 0]
[15:41:44] research-loc-gov: OK in 74s (224789 tok, $0.220) [done 131, failed 0]
[15:41:44] research-semantic-scholar: OK in 120s (374492 tok, $0.261) [done 132, failed 0]
[15:42:04] research-meteoblue: OK in 172s (1072238 tok, $0.665) [done 133, failed 0]
[15:42:06] research-kanye-rest: OK in 22s (30167 tok, $0.013) [done 134, failed 0]
[15:42:23] research-amazon-paapi: OK in 116s (347916 tok, $0.278) [done 135, failed 0]
[15:42:31] research-interactive-brokers: OK in 102s (341300 tok, $0.272) [done 136, failed 0]
[15:43:14] research-openaq: OK in 44s (209149 tok, $0.155) [done 137, failed 0]
[15:43:18] research-untappd: OK in 117s (325420 tok, $0.404) [done 138, failed 0]
[15:43:29] research-statcan: OK in 83s (303578 tok, $0.282) [done 139, failed 0]
[15:43:32] research-marketaux: OK in 69s (168009 tok, $0.141) [done 140, failed 0]
[15:44:31] research-cloudflare-doh: OK in 76s (166546 tok, $0.203) [done 141, failed 0]
[15:44:41] research-fueleconomy: OK in 69s (170299 tok, $0.227) [done 142, failed 0]
[15:44:55] research-mojang: OK in 191s (183248 tok, $0.173) [done 143, failed 0]
[15:45:20] research-discourse: OK in 123s (330870 tok, $0.295) [done 144, failed 0]
[15:45:28] research-nhl-edge: OK in 120s (265275 tok, $0.305) [done 145, failed 0]
[15:45:38] research-rawg: OK in 296s (619976 tok, $0.486) [done 146, failed 0]
[15:45:46] research-openrouteservice: OK in 222s (915111 tok, $0.498) [done 147, failed 0]
[15:45:54] research-openrouter: OK in 73s (179261 tok, $0.169) [done 148, failed 0]
[15:45:59] research-bright-sky: OK in 88s (359079 tok, $0.246) [done 149, failed 0]
[15:46:40] research-sauce-labs: OK in 72s (220140 tok, $0.212) [done 150, failed 0]
[15:46:49] research-igdb: OK in 55s (236671 tok, $0.178) [done 151, failed 0]
[15:46:54] research-brewerydb: OK in 14s (30247 tok, $0.013) [done 152, failed 0]
[15:47:04] research-eodhd: OK in 65s (318904 tok, $0.212) [done 153, failed 0]
[15:47:20] research-europeana: OK in 94s (278591 tok, $0.277) [done 154, failed 0]
[15:47:32] research-defillama: OK in 157s (634825 tok, $0.346) [done 155, failed 0]
[15:47:35] research-yesno-api: OK in 46s (141323 tok, $0.107) [done 156, failed 0]
[15:47:38] research-carmd: OK in 509s (1832935 tok, $0.853) [done 157, failed 0]
[15:47:42] research-ebay: OK in 125s (525010 tok, $0.623) [done 158, failed 0]
[15:48:16] research-openfda: OK in 56s (145053 tok, $0.162) [done 159, failed 0]
[15:48:22] research-hypixel: OK in 88s (389720 tok, $0.258) [done 160, failed 0]
[15:48:27] research-nasa-open-data: OK in 187s (343854 tok, $0.285) [done 161, failed 0]
[15:48:32] research-pelias: OK in 88s (352216 tok, $0.321) [done 162, failed 0]
[15:48:43] research-mozilla-observatory: OK in 65s (276508 tok, $0.193) [done 163, failed 0]
[15:48:55] research-solar-system-opendata: OK in 80s (254223 tok, $0.192) [done 164, failed 0]
[15:48:58] research-abstract-email: OK in 76s (242158 tok, $0.200) [done 165, failed 0]
[15:48:59] research-event-registry: OK in 87s (379272 tok, $0.286) [done 166, failed 0]
[15:49:27] research-shipengine: OK in 65s (376951 tok, $0.254) [done 167, failed 0]
[15:49:27] research-voyage-ai: OK in 54s (167761 tok, $0.140) [done 168, failed 0]
[15:49:41] research-birdeye: OK in 59s (224087 tok, $0.246) [done 169, failed 0]
[15:49:56] research-apify: OK in 61s (350458 tok, $0.301) [done 170, failed 0]
[15:50:02] research-pirate-weather: OK in 95s (419773 tok, $0.366) [done 171, failed 0]
[15:50:09] research-launchdarkly: OK in 71s (255735 tok, $0.280) [done 172, failed 0]
[15:50:24] research-massive: OK in 57s (175796 tok, $0.196) [done 173, failed 0]
[15:50:56] research-klarna: OK in 117s (354441 tok, $0.400) [done 174, failed 0]
[15:50:58] research-open-textbook-library: OK in 92s (197454 tok, $0.278) [done 175, failed 0]
[15:51:03] research-sample-apis-coffee: OK in 81s (239291 tok, $0.180) [done 176, failed 0]
[15:51:18] research-hearthstonejson: OK in 76s (256744 tok, $0.231) [done 177, failed 0]
[15:51:21] research-memegen: OK in 85s (231154 tok, $0.190) [done 178, failed 0]
[15:51:23] research-what3words: OK in 74s (171127 tok, $0.236) [done 179, failed 0]
[15:51:41] research-cricapi: OK in 205s (834101 tok, $0.555) [done 180, failed 0]
[15:52:21] research-auth0: OK in 78s (247790 tok, $0.205) [done 181, failed 0]
[15:52:34] research-clinicaltrials-gov: OK in 130s (411561 tok, $0.298) [done 182, failed 0]
[15:52:44] research-zerobounce: OK in 86s (224524 tok, $0.227) [done 183, failed 0]
[15:52:48] research-espn-api: OK in 87s (205278 tok, $0.245) [done 184, failed 0]
[15:52:59] research-aylien-news: OK in 123s (541413 tok, $0.395) [done 185, failed 0]
[15:53:01] research-easypost: OK in 98s (224543 tok, $0.264) [done 186, failed 0]
[15:53:07] research-world-weather-online: OK in 86s (253080 tok, $0.310) [done 187, failed 0]
[15:53:07] research-terraform-cloud: OK in 24s (64840 tok, $0.048) [done 188, failed 0]
[15:53:30] research-astronomyapi: OK in 152s (654222 tok, $0.438) [done 189, failed 0]
[15:53:41] research-bright-data: OK in 67s (335352 tok, $0.249) [done 190, failed 0]
[15:53:57] research-imgflip: OK in 56s (152592 tok, $0.114) [done 191, failed 0]
[15:53:59] research-mollie: OK in 71s (395832 tok, $0.322) [done 192, failed 0]
[15:54:18] research-jina-ai: OK in 117s (535759 tok, $0.367) [done 193, failed 0]
[15:54:43] research-geonames: OK in 96s (296117 tok, $0.230) [done 194, failed 0]
[15:54:57] research-regulations-gov: OK in 87s (319568 tok, $0.250) [done 195, failed 0]
[15:55:22] research-coursera: OK in 143s (748006 tok, $0.485) [done 196, failed 0]
[15:55:31] research-hunter: OK in 73s (298238 tok, $0.239) [done 197, failed 0]
[15:55:47] research-brawl-stars: OK in 160s (654281 tok, $0.465) [done 198, failed 0]
[15:55:48] research-sportsdataio: OK in 65s (282404 tok, $0.211) [done 199, failed 0]
[15:56:07] research-okta: OK in 128s (596031 tok, $0.419) [done 200, failed 0]
[15:56:27] research-shippo: OK in 90s (294184 tok, $0.310) [done 201, failed 0]
[15:56:33] research-inaturalist: OK in 156s (346284 tok, $0.250) [done 202, failed 0]
[15:56:58] research-scrapingbee: OK in 87s (530709 tok, $0.315) [done 203, failed 0]
[15:57:12] research-claimbuster: OK in 212s (1064124 tok, $0.613) [done 204, failed 0]
[15:57:21] research-deepl: OK in 119s (731141 tok, $0.466) [done 205, failed 0]
[15:57:37] research-crates-io: OK in 110s (369180 tok, $0.269) [done 206, failed 0]
[15:57:37] research-giphy: OK in 70s (325102 tok, $0.273) [done 207, failed 0]
