[14:50:20] fleet start: 320 jobs, concurrency 10
[14:51:10] verify-bitbucket-b: OK in 50s (30387 tok, $0.013) [done 1, failed 0]
[14:51:39] verify-brave-search-b: OK in 79s (144760 tok, $0.130) [done 2, failed 0]
[14:51:55] verify-braintree-b: OK in 95s (268541 tok, $0.214) [done 3, failed 0]
[14:51:58] verify-boardgamegeek-a: OK in 98s (149287 tok, $0.118) [done 4, failed 0]
[14:52:04] verify-bls-b: OK in 104s (188978 tok, $0.217) [done 5, failed 0]
[14:52:07] verify-bitbucket-a: OK in 107s (282031 tok, $0.316) [done 6, failed 0]
[14:52:07] verify-census-bureau-a: OK in 12s (29960 tok, $0.042) [done 7, failed 0]
[14:52:09] verify-brave-search-a: OK in 109s (412906 tok, $0.244) [done 8, failed 0]
[14:52:11] verify-boardgamegeek-b: OK in 111s (160052 tok, $0.162) [done 9, failed 0]
[14:52:16] verify-braintree-a: OK in 116s (214410 tok, $0.219) [done 10, failed 0]
[14:52:16] verify-cheapshark-a: OK in 12s (29917 tok, $0.012) [done 11, failed 0]
[14:52:32] verify-binance-a: OK in 132s (409192 tok, $0.261) [done 12, failed 0]
[14:52:33] verify-circleci-b: OK in 17s (29986 tok, $0.043) [done 13, failed 0]
[14:52:43] verify-coingecko-a: OK in 10s (30039 tok, $0.053) [done 14, failed 0]
[14:52:46] verify-cat-facts-a: OK in 96s (143353 tok, $0.109) [done 15, failed 0]
[14:52:46] verify-coinbase-b: OK in 14s (30021 tok, $0.013) [done 16, failed 0]
[14:53:07] verify-cat-facts-b: OK in 88s (152476 tok, $0.217) [done 17, failed 0]
[14:53:11] verify-chuck-norris-jokes-b: OK in 62s (173892 tok, $0.099) [done 18, failed 0]
[14:53:12] verify-chuck-norris-jokes-a: OK in 66s (142139 tok, $0.119) [done 19, failed 0]
[14:53:22] verify-companies-house-a: OK in 15s (30201 tok, $0.043) [done 20, failed 0]
[14:53:24] verify-companies-house-b: OK in 13s (30179 tok, $0.053) [done 21, failed 0]
[14:53:29] verify-circleci-a: OK in 79s (245209 tok, $0.194) [done 22, failed 0]
[14:53:48] verify-census-bureau-b: OK in 110s (318631 tok, $0.208) [done 23, failed 0]
[14:53:51] verify-coinbase-a: OK in 95s (288676 tok, $0.238) [done 24, failed 0]
